category,likesNum,name,nameOnSite,descriptions
adult/newcomer,0,Adult Hub GOR,Lorem Ipsum Academy,"The place to learn the basics of Gor in a friendly and educational environment. Here you can learn to be a slave, a Master, a free woman or a panther. Educational and very open to people new to Gor. A great starting place for further explorations into the many Gorean sims."
real,0,LONDON Mayfair,London Mayfair,"Mayfair is a replica of the real-life replica of the London district of Mayfair. The sim has replicas of many real-life locations and landmarks in Mayfair, including Marble Arch, the Shaftsbury Memorial Fountain, and the Burlington Arcade. Come here for bus tours, fun and more!"
real,0,Opera Joven,Guadalajara Mexico,This sim captures the exotic beauty of one of Mexico's oldest cities. Explore Colima's Volcano or the Catedral de Guadalajara on your own or hop aboard the Tequila Express for a guided tour.
real,0,Paris 1900,Paris 1900,"Return to Paris circa 1900, a time when romance and revolution were in the air and the Moulin Rouge was the hottest ticket in town. Rent a car and stop by some of the city's greatest landmarks like the Eiffel Tower, Le Arc de Triomph, and the Great Ferris Wheel just as they were at the turn of the century."
real,0,Temasek,Temasek,"Learn about the culture, history and ecology of Singapore at Temasek."
real,0,Aquitaine Coeur Nord,Aquitaine Coeur,"Journey back to late 18th century France, to a time where Ben Franklin and Thomas Jefferson sought aid from the French during the Revolution. Attend a concert at the opera house, shop in the village, have tea at a mill, and enjoy the simple pleasures of this idealistic French countryside. "
premium/hunts,0,Periscope,The Factories,"Doctor Talpa's dastardly factories hide vital parts for Magellan's machines. Talpa's evil plan is close to fruition, what will you do to stop him? "
premium/hunts,0,Byrd,The Ice Floes,Wander across desolate icebergs in your quest to halt the evil of Doctor Talpa. What's hiding at the lonely lighthouse? 
premium/hunts,0,Byrd,The Power Station,This glowing laboratory is front and center for the people working on Magellan's plan to save the world. What do you think you'll find at the Power Station?
premium/hunts,0,Crankshaft,Magellan's Grid Scavenger Hunt,"Welcome, brave explorers and adventurers! Magellan Linden uncovered an evil scheme by the mad Doctor Talpa to build mind-controlling machines and take over the world. While Magellan builds a machine to counter this scheme, you are needed to gather materials and components -- and to destroy every one of Talpa's machines you find. Magellan has established workshops, a laboratory (even a bar) on the Isles of Ice; travel there to learn more, get equipped and start the hunt!"
roleplay/urbannoir,0,Toxia,Toxian City,"Toxian City's dark and highly detailed world was designed to submerge the players into the story; stimulating their role play creativity beyond normal means. Role play in the harsh streets, battle mutated monsters and become part of the community."
adult/newcomer,0,Bang Tao Beach,Red Devil Inc & The Dark Orchid,"Red Devil Inc is a latex, rubber and mesh avatar clothing designer, with a wide selection of  BDSM and fetish items, as well as furniture accessories and more. The cherry on top is The Dark Orchid, a club with many events including discussions and themed parties."
adult/newcomer,0,Adult Hub BDSM,The Cage Club Hangout,"The Cage Club Hangout is a starting point for living out adult fantasies of power transfer and learning the ropes in Second Life. Friendly staff almost 24/7 will answer questions and help seasoned SLers, as well as new residents get into the play. "
adult/roleplaying,0,Dead End,Dead End Asylum,"At first glimpse, the old Gothic building is your typical bustling inner-city hospital, but beneath the surface, the screams of the insane are muffled by concrete and padded walls. Immerse yourself in this urban-noir sim where corruption runs rampant and patients are left at the mercy of staff."
adult/newcomer,0,Bronlen,Matriarchal Hub - Women's Resource Center,"The Matriarchal Hub is a complete resource for all things female-led in Second Life!  Sisterhood, matriarchy, gynarchy, femdom, feminism, women in business and more! Here you'll find frequently updated links to inworld and offworld content to make your virtual world experience more female-friendly."
adult/roleplaying,0,Slaver Bay,Slaver Bay,"In the rundown town of the once prosperous Slaver Bay, the third rate film studios now rule, centred around the dubious club SinQ, where the beer may be watered out, but the drinks never are. People come with hope – and never really leave."
romance/romance_spots,0,Erazor,Dream Scene,"Dream Scene lets you and a loved one design a special fantasy evening. Choose from one of the many romantic themes — there's everything from a Roman bath to a space cave — then, sit back and let the floating bubble whisk you off on a magical getaway. "
romance/romance_spots,0,Japan Resort Breeze,Afro Japan,"Dance near the sea at the Afro Japan, and Japan Resort Breeze, where you'll experience the joy of living amid great music and friends! This club features beautiful waterfalls and traditional Japanese buildings. "
romance/romance_spots,0,Romantica Island,Romantica Island,Romantica Island is a picturesque place that features a proposal stand where you can ask that important question to your loved one. There's also a wedding venue that overlooks the sea.
romance/romance_spots,0,Rockje,Love Me Tender Park,"Hop aboard the floating heart to tour this expansive sim, which includes several Valentine's Day-themed attractions. Visit Cupid's Palace or take a loved one for a stroll through the romantic garden or the beach of a 1,000 sandwritings."
romance/romance_spots,0,The Botanical Gardens,SL Botanical Gardens,"Come explore, relax, meditate, hang out with friends or just soothe your weary soul. Ride the gondola, commune with Buddha, discover the secret Mermaid grotto and hug a tree or two at the SL Botanical Gardens."
romance/romance_spots,0,Newton Magna,Fantasy Honeymoon Suites,"Looking for the perfect place to take your newly betrothed? At Fantasy Honeymoon Suites, you can choose your favorite destination, such as a Greek villa or a secluded beach. Find the perfect spot to spend time with your sweetie."
romance/romance_spots,0,Daydream Island,Daydream Island,"Need some excitement in your Second Life? Seeking romance? Or, perhaps you long for somewhere scenic to escape? Visit Daydream Island for romantic times, solo or with your personal friend. Check out http://pdx.be/9286 for more info."
romance/romance_spots,0,Romantic Moods,Romantic Moods,"Come explore this fantastical forest, where you can relax in a mystic cave or sit on the pier and watch the moon rise with your one and only. Frolic with the forest animals or share a romantic dance at the ancient gazebo."
romance/romance_spots,0,Casablanca Estates Three,Romantic Enchantments,"Romantic Enchantments is for lovers of ethereal atmosphere. Dedicated to beauty and peace, you'll find pavillions and streams, waterfalls, forests and swamps. There are also trails, caves and grottos to explore. "
roleplay/urbannoir,0,Newport Keys,Giano Estates,"Step away from the hustle and bustle and into this New England township. Meet the locals — and the local celebrities. There are plenty of RP possibilities for everyone, including nightlife, medical, police and fire, mechanics, clergy and more. "
roleplay/urbannoir,0,Dark Eternity,Dark Eternity Island,Come explore the depths of your imagination at Dark Eternity Island.
roleplay/urbannoir,0,Rem,REM City,"Danger is everywhere in REM City, an open fight zone where you can engage in combat and roleplaying."
roleplay/urbannoir,0,Good Region,World of Anarchy,"In the year 2020 the Apocalypse came — it didn't come with a bang or a boom... it came with a sneeze and a cough. Bio-engineered viruses leaked out of a top-secret laboratory, causing unexpected and monstrous mutations. Forcing the governments of the world to implement nuclear cleansing procedures. What will you discover in this dystopian world?"
roleplay/urbannoir,0,Rouge,RUST!,"In this alternate reality and multiplayer online role playing game, you'll enter Rust, a tiny city of bustling life that is all that survives of humanity. Built, somewhat ironically, around a bomb crater, Rust is a testament to its inhabitants’ will to live. It floats in the midst of the chunks of what was once Earth, before the nuclear bombs began to fall."
roleplay/urbannoir,0,Dead End,Dead End,"Just like a graphic novel, the characters in Dead End City live a life of crime, despair, and hope. When you arrive, pick a role and start your own urban-noir story in this dark metropolis."
roleplay/urbannoir,0,D 3 Michigan,D3 - Michigan,"D3 is a French-language urban role-playing sim filled with hidden recesses and surprises. From the bottom of the sewers to the top of the many buildings, you'll discover several districts filled with everything from opulence to squalor. "
roleplay/urbannoir,0,SSOC,Tokyo-Wind Hill City,"Visit SSOC Tokyo-Wind Hill City, a modern military-combat area in the tradition of a Japanese city. You can watch and participate in realistic urban military combat with an original combat system (ECS). Come check out the action in this modern sim."
roleplay/urbannoir,0,Midian City,Midian City,"Visit Midian City, where you'll encounter your darkest nightmare and a senseless beating thrown in for good measure. Engage in cat-and-mouse combat in this dark, futuristic urban dystopia."
roleplay/urbannoir,0,Remembrance,NORSIM,"In the dark urban combat community, society has collapsed with humanity struggling to survive. This immersive roleplaying area is among the most popular in Second Life."
roleplay/urbannoir,0,The Wastelands,The Wastelands,"Tired of pristine beaches and shiny, prefab homes? Set your heart on a boggy lot of abandoned, ramshackle-looking land? Check out The Wastelands, one of SL's oldest and largest post-apocalyptic themed residential estate parcels."
romance/romance_spots,0,Romantic Cove,Dorei Shelter,"Meet new friends in this friendly role-play area for adults. Visit this wild romantic fantasy garden and forest, where you'll find a ballroom and cozy private homes and places to hang out and date. Experience healing nature with meditation and Tai Chi and other fun activities."
adult/roleplaying,0,Syn City,Syn City,"Syn City is an adults only realistic urban city inhabited by people who have come looking for a fresh start. From bikers to mafia to city workers, you will find a place to belong here — but beware as some things may not appear as they seem."
adult/roleplaying,0,Mystic Fantasies,Mystic Fantasies,"Mystic Fantasies features freeform adult medieval/fantasy-themed role-play. The Evil hunts for the ones who roam through the Mist of the Mystic Meadow and the Desolate Swamps. You will find faun, satyr, elves, wolves, lycans, drow, demons, orcs and other mythical creatures. What role will you play here? "
adult/roleplaying,0,Dead Fall,Crimson Avenue,"Walk the red seedy streets of Dead End, where you can make your own character and enjoy immersive adult-roleplay. Visit, register, and begin writing your own erotic scenes. More info at http://deadend.sl"
adult/roleplaying,0,Ethereal City,Ethereal City,"Ethereal City is an adult-themed, age-verified Gothic playground for lovers, romantic dates, explorers and residents. Explore all the hidden rooms, luxury suites, gardens and cathedrals and have fun."
adult/roleplaying,0,Femdom,The Velvet Thorn Femdom Community,The Velvet Thorn is a light-hearted femdom community in the SL universe that doesn't take itself too seriously. Discover this safe place to explore your virtual sexuality. More info at: http://velvetthornfemdom.blogspot.com.
adult/newcomer,0,Bronlen,Zindra Arena,"Zindra Arena, located in the heart of the 343 sim-wide Zindra adult continent, welcomes all visitors and provides information about community resources. It also hosts the Zindra Directory, which features links and landmarks to resources, businesses and venues on the continent. Zindra Arena is provided by Zindra Alliance."
adult/roleplaying,0,Romanum,Romanum,"Travel back to ancient Rome to a place and time where you can live the glorious days of the great Roman Empire. Centered around Forum Romanum, this expansive, picturesque sim offers historical and realistic role-play for gay and bisexual men. Age-verified, adult access only. "
roleplay/urbannoir,0,Innsmouth,Innsmouth,"Why was this New England coastal town abandoned in the 1930s? Perhaps the giant sea-monster emerging from the south ocean might be the answer. Nevertheless, Innsmouth remains a dark, damp place with perpetual rain and ruined buildings well worth exploring."
adult/roleplaying,0,Hathian,Hathian,"Several years of immersive stories and urban role-play pull you deep into the grit of Hathian, a dangerous town based in Southern Louisiana. Gritty themes dominate in this place with gangs, police, medical, criminal, and adult role-play through text-based emotes and a meter-free character evolution system. More info at http://thecrackden.com"
roleplay/urbannoir,0,FireStorm,NekoZone Central,"NekoZone Central is a mysterious dark detailed town based on the urban streets of a classic, near future dystopian Los Angeles. Become part of the community and explore littered streets below towering skyscrapers and dismal sewers packed with the technological detritus of generations. Remember to take your brolley, it's always raining here."
roleplay/urbannoir,0,Seraph City,Seraph City,"Come visit the best dieselpunk city of yesterday's future! Enjoy an era of Art Deco and futurism. Stroll down vintage streets to find the finest in vintage shopping, entertainment and light roleplay opportunities. "
roleplay/urbannoir,0,Da Vinci Isle,Mad City,"Mad City is full of eerie builds, dark secrets. Immerse yourself in a rainy 1940s film noir setting, explore the shopping district to find the perfect gift, take photos, view the art galleries, relax in the park, or try the Escape the Room game. "
roleplay,0,Mental Eclipse,The City of Verge,Somewhere in the mid-western United States stands a town on the verge of a affluence or ruin. Come to Verge and help this city find its way. Will you be someone who lifts the city up for the good of all or will you ruthlessly take what you want? Will you stand for order or will you stand for chaos? 
roleplay,0,BADWATER SOUTH,Badwater,"Badwater is a role-play city set in a modern urban environment. Built on two sims, Badwater offers something for every role-player. Ride with the Fallen Angels, enforce the laws with the Badwater Police or hang out with the North Side Gangsters. Very friendly to new role-players, come and see for yourself. "
roleplay/urbannoir,0,Moonlit Bay,The Port of Deception,"Port of Deception is a roleplaying community that caters to modern supernatural roleplay genres. From working at the cafe or bed & breakfast to being a criminal in the under city, they offer a variety of complex and simple themes for new and continued avenues of roleplay."
real,0,Sialimonus,Virtual Oval Office,"This replica of the Oval Office mimics the current decor of the real-life building, capturing all the tiny details — even down to the paintings on the walls and the screen on the laptop! Have a fireside chat or sit in the presidential chair as you experience what it's like to make key leadership decisions for the United States."
roleplay/urbannoir,0,Brutal City,Brutal City,"Brutal City is a diverse mix of personalities and desires set in a semi-futuristic urban setting. These are dark lands inhabited by dark souls and they take both roleplay and SCRS combat seriously. This is a place to allow your imagination to run freely with a wide range of settings and props provided throughout the simulator. Listen well, learn fast and you might live long enough to have fun. "
real,0,Wensley,Borobudur Temple,"Journey to this expansive replica of Borobudur, a ninth-century Mahayana Buddhist monument near Magelang in Central Java, Indonesia. This World Heritage site lay hidden for centuries under layers of volcanic ash and jungle growth, but has undergone restoration by the Indonesian government and UNESCO."
real,0,Terra Egypta,Terra Egypta,"Join the conversation with people from around the world as they discuss the state of political affairs and the citizen uprising in Egypt."
real,0,Marblehead,New England Village,"Travel to this replica of the real life Marblehead, Mass., where you can enjoy the preserved East Coast feeling as you explore the many quaint seaside shops and attractions. "
real,0,Knightsbridge,Knightsbridge,"Visit this real-life replica of Knightsbridge, London, where you'll find replicas of famous London landmarks, such as Big Ben. Visitors can even catch one of the famous double decker buses to ride on Brompton Road. "
real,0,Munich City,Munich,"Savor the glorious architecture of Germany's third-largest city. Historic Munich includes taverns, folk dancing, shopping, fairground rides, and a friendly community of local Residents."
real,0,LONDON Mayfair,Marble Arch,"Visit Marble Arch, which is a replica of the real life London landmark. Marble Arch is a monument that only British Royalty and the King's Troop Royal Horse Artillery are normally allowed to pass through. "
real,0,London City,Nelson's Column in London City,"Nelson's Column and Trafalgar Square, in the heart of London City, is a popular meeting point for new and experienced residents alike."
real,0,Westphalia,"The Villa Capra ""La Rotonda""","Villa Capra (La Rotonda) is a virtual interpretation of the World Heritage site in Vicenza, Italy. Built in 1565, this elegant country house was inspired by the Pantheon in Rome and has since influenced the design of thousands of subsequent structures."
real,0,WaterWay New York,"Battery Park, NY","Visit this recreation of one of Manhattan's oldest public open spaces, including a mini Castle Clinton, landscaped gardens, kiosks, and a fascinating aquatic structure called the Sea Crystal Carousel."
real,0,Luxembourg City,Luxembourg City,"Blogger Kamikaze Ragelogger describes this replica of Europe's most treasured capital as having ""narrow, curving streets [that] recreate that old world charm...The main square feels alive with clanking cups, sweeping and conversation."" Read the full review at http://bit.ly/NBad1e."
real,0,Liberia Isle,Legend of China,"Explore the mysteries of the Pacific Rim at Legend of China. The buildings and ships are all accurate to the period, and the center shop carries everything you need to feel like a Chinese dignitary from a long-forgotten dynasty. Then take a moment to commune with the Buddha and explore the colorful art gallery."
romance/romance_spots,0,Fotoscope,Fotoscope Island,"Fotoscope Island is dedicated to photography, fun, friendship and romance! Ride the Freefall and enjoy eight minutes of a space ride packed with animations and audio-visual special effects. Fotoscope also has quite a few of other interactive experiences. Dance and cuddle in a wide variety of beautiful spots and hidden locations. Just be sure to take lots of photos, huh?"
romance/romance_spots,0,Portland Maine,Special Impressions,"Special Impressions offers many gifts and decorations for Valentine's Day, unique designs for anniversary gifts, rez days, and even trophy's. Come on by and pick up your free surprise gift."
romance,0,Star Journey,Stars Romantic Dance Club,"Enjoy music and dancing at Stars Romantic Dance Club. Stars creates its own special vibe by playing contemporary romantic music in a fun, futuristic atmosphere. Singles or couples are welcome to relax and meet new friends in the wine bar. Or listen to live performances, DJ's and a 24/7 stream of romantic tunes. "
romance/romance_spots,0,Walnut Woods,Le Paon Restaurant,"Le Paon Restaurant is a full service roleplay restaurant that specializes in bringing a realistic dining experience to your Second Life. They serve breakfast, lunch and dinner. They hold weekly events for couples and families, they also hold wedding receptions and numerous community affairs. "
music,0,Watrs Edge,Watr's Edge,"Come spend time with a loved one, meet someone new or just hang out. Listen to regular live music. There's even skybox homes open to the public, including a spacebox and a holodeck. Lots to do, including sweet animations around the sim. When it comes to soothing romantic spots to hang out with a friend, it's hard to beat Watrs Edge. "
romance/romance_spots,0,Paradise of Eden,Imaginaria,"Imaginaria is a great place to take pictures or just explore, dance or hang out. This magical secret garden boasts all sorts of wondrous locations, perfect for couples, first dates and more. "
romance,0,Pleasure Bound,Chenier,"Chenier is a refuge for women only. It's a seashore estate with some Cajun-themed attractions, boating, dancing, a beach, a marsh, a park and private intimate places. Access is restricted to people on an access list, contact Angelpatty Resident by IM or notecard to request access. You're at home in Chenier!"
romance,0,Carriedo,Arani's Perfection,"Arani's Perfection is an autumnal location for exploring and romance, focused on women. This soothing locale includes a floating bar, a log cabin, a boat house, camp site, gypsy wagon, even three secret teleports."
roleplay,0,Academy of Industry,Brunel Hall Hotel and Restaurant,"Experience fine dining in the decadent surroundings of the Steamland's most infamous hotel, Brunel Hall. Set in  the steampunk surrounds of New Babbage, Brunel Hall is famous for classic styling, and has been featured in numerous magazines and machinima. Come on by and grab a table at this non-roleplay restaurant, no reservations needed!"
romance/romance_spots,0,Luscious Kisses,Tranquil Haven Park,"Tranquil Haven Park is a cozy park scattered with romantic cuddles, kisses, hugs and dancing spots. Or come visit the heart-shaped island to play piano or set off fireworks. Use the teleporters to dance in the clouds, play games or hang out in the tree house. If you need relaxation, this is the place to be."
adult/roleplaying,0,Corinthia Isle,Corinthia Isle,"Come roleplay in an exciting 1930-40's vintage retro scene on an island off New York. See the seaside village, elegant manor houses, big band nightclubs, cinema, beaches, cafes, bars, drag clubs, galleries and much more. Catering to all types and preferences, Corinthia Isle is your place for vintage roleplay!"
adult/roleplaying,0,Jungle of Sin,Jungle of Sin,"Come to the Jungle of Sin and enjoy a whole host of sinfully fun activities. Swing by the nude beach, the lovers air ship, tree houses, even cuddle bubbles. Or try the underwater world, hidden caves, or other spots and roleplay your wildest fantasies. Whether you're looking for cuddles and sex, or dancing and friendship, the Jungle of Sin offers many attractions to explore in this wonderful sim. "
adult,0,Furnication,Furnication,"Club Furnication is an international furry club with some of the best DJs on the grid. Offering live DJ performances, events, contests, games and much more, Furnication is the place to be for a great time in Second Life. All adults and species are welcome, so get down here."
romance/romance_spots,0,Serenity Plateau,Secret Fantasy,"Visit this picturesque beach club, where you can dance, cuddle and walk along the water with your loved one to a soundtrack of soul, funk, Latin salsa, reggae and other romantic and funky rhythms."
romance/romance_spots,0,Two Moon Paradise,Pelican Beach,"Visit Pelican Beach, a romantic spot where you can dine, dance and take pictures. Enjoy a romantic dinner while you gaze out at the stars."
romance/romance_spots,0,Isle of Genesis,Cafe Casablanca,"Cafe Casablanca is a unique club in Second Life with lots packed onto one parcel. They have beautiful beaches with pounding surf, romantic spots for that special someone or just enjoy the beautiful 24/7 music streams. A variety of live performers round out this perfect romantic package."
romance/romance_spots,0,Southern Heart,Southern Heart,"Explore your inner desires at Southern Heart with ""momenti rubati"" (stolen moments). Walk through the gardens and castles and along the beach, and you'll find hidden spots for romance, love, peaceful meditation, even balloon rides. Search for the unexpected, the hidden, the forbidden. "
romance/romance_spots,0,Freyr,Skate & Date Resort,Strap on your roller skates (or ice skates if it's winter) and join in the fun at the colorful and romantic Skate & Date Resort. Cool off in the pool or cuddle with your sweetheart in the garden.
romance/romance_spots,0,Leroy,[leroy],"Disembark from the nearby ship and immerse yourself in this romantic, secluded spot hidden deep on the grid of Second Life. Could this be Eden? "
romance/romance_spots,0,Grind,Grind,Grind is the place where couples are king. You arrive by private yacht and can replenish supplies at the upscale mall. Hobnob with other yacht enthusiasts in this modern and totally chilled-out club.
romance/romance_spots,0,Krymov,Ajax and Katie's Romance Garden,"Explore the many places to kiss, cuddle and romance at Ajax and Katie's Romance Garden. This love spot features live deejays and over 100 kiss and cuddle animations."
romance/romance_spots,0,Two Moon Paradise,Two Moon Paradise,"Come relax and take a stroll with a loved one at Two Moon Paradise's beautiful beach then take in some tunes at the Coconut Rock Club. Visit the art gallery or, if you are more adventurous, there is jet skiing and horseback riding for all visitors."
romance/romance_spots,0,Maribella,Intimate Romance Garden,Tropical heat and hot passions are unleashed at the Intimate Romance Garden. Come dance the night and day away in this lovely tropical paradise.
romance,0,DAIKIN Air Resort,Café D'Amour,"Café d'Amour, was built in 2013 to be a romantic place for get-togethers and dinners. The cafe boasts an exotic architecture, picnic spots, diverse and welcoming environments, dance spaces, even theme parties and dance space for couples. Refinement, taste, warmth, emotions, creativity and excellence are the ingredients that make Café D'Amour an ideal place to share."
romance,0,Static Beats,Zed Sensations,Zed Sensations is a wonderful place to shop and hang out. Come dance and explore with a partner or with friends to new musical themes every evening. All are welcome to enjoy the scenery and friendly poses provided.
romance,0,Melbeau Estate,Beau X,"The Beau X is a high class ocean view dance venue set in a stunningly authentic Mediterranean environment. Enjoy dancing and romantic moments at the beautiful roman amphitheater's restored ruins. Roam Melbeau Estate and visit the aqua lounge, waterfall hang-out, cuddle park, underwater garden, forested gazebos and more. "
adult/roleplaying,0,Black Bottom,Columtreal College Town,"Create your own urban character and immerse yourself in campus life at Columtreal University. From frats & sororities, faculty, to many other groups, age-verified adult residents can sign-up and enjoy role-play in this southern college town community. Go Looters!"
adult/roleplaying,0,Pirandello Bay,Pirandello Bay,"Pirandello Bay is a large, one sim wide playground with hundreds of state of the art playtools to fulfil the most exotic fantasies. Set in a tranquil environment, friendly staff are on duty to help newcomers as well as more experienced players."
adult/roleplaying,0,Cercina,Shemale Grunge Street,Travel to a hidden street in a grunge-filled city where shemales live and have fun.
adult,0,Desiderium,deSiderium,"We are a new private access erotic club, located at Twisted Village. They offer an exclusive, unique, highly detailed setup and a changing atmosphere for an outstanding roleplay experience. deSiderium: where upscale meets urban. "
adult,0,Cale,South Side Snakepit,"Go to South Side Snakepit to roleplay with friends who like playing rough. Urban, grungy, immoral and depraved is the unfairness of the South Side. No fancy HUDS or complicated rules here. Not many rules at all. There are role-play criminals, bikers, forceful predators and worse in this dirty side of town. So visit the themed buildings and private sky boxes if you dare."
adult/roleplaying,0,Amhas Cairn,Amhas Cairn,"Amhas Cairn is a welcoming and exciting Gorean, By the Book Torvaldsland sim for visitors, newcomers and long-term roleplayers. They even offer classes as needed. This dynamic build is fictionally located near the foot of the Axe Glacier, where lands and weather are harsh and the people must be more so to survive. Come get lost in their rich ongoing storylines!"
adult,0,Temptations Isle,Temptations Adult Resort,"Temptations Adult Resort is a privately-owned sim and welcomes residents new and old. Lots to explore including beaches, manor houses, role play cities and mansions. "
adult,0,IYC Addictions,IYC Furry Community,"The IYC serves as a social hub for the international furry and LGBT community. They welcome all avatar types, not just furs! The IYC also hosts major events, live DJ's 24/7, residential spots, clubs, even chill-out zones. IYC is an 18+ non-profit volunteer community that spans all shores."
adult/roleplaying,0,Forests of Shara,Forests of Shara,"The Forests of Shara is a romantic medieval place in the heart of Shara. Inspired by forgotten haunts, the entire sim is dedicated to natural beauty. With formal ballrooms, castles, dance pavilions, churches, weddings, nature trails, forests, caves, lakes, beaches, and more, prepare for an everlasting experience. "
romance/romance_spots,0,Fender,Jasmine's Hollow,"Jasmine's Hollow is an Adirondack steampunk haven that's great for friends, romance, photography or just relaxing. Secluded cabins are tucked along the forest and waterfall-fed lake. Why not row and cuddle in a romantic boat while you look for the hidden cave? Or discover the crash site below the Dirty Grind. Discover all of this venue's many surprises!"
romance/romance_spots,0,Cadair Braeden,Cadair Braeden Temple and Marketplace,"Cadair Braeden is one of the largest medieval markets in Second Life. Come find all the great designers in this fantastic market where shopaholics are sure to find whatever they're looking for! Or for those looking for something deeper, why not stay for some romantic medieval/fantasy at the Grand Ballroom for both roleplay and out of character. Maybe discover the magic of the dragon of love, at Pandryl's Temple? "
romance/romance_spots,0,Shopping City,Casa De Aromas,"Any occasion or celebration is a good time to visit Casa de Aromas, the author´s cuisine restaurant. Casa de Aromas is the first haute cuisine restaurant in Second Life with superior dining service. they even offer special thematic menus for babies and kids, as well as happy meals to take home. Visit them soon!"
romance/romance_spots,0,Whispering Windz,Whispering Winds,"Welcome to the retreat called Whispering Winds. Home to three performance venues, a redwood forest, caves to explore, and many romantic spots. Use the provided teleport posts or explore on your own!"
romance/romance_spots,0,Eutopia,Heightened Passion,"Welcome to Heightened Passion, a gorgeously realized romantic retreat. Featuring a pastoral setting, balloon rides, gondolas and plenty of quiet, private nooks. So bring a loved one to these flower-strewn meadows and enjoy yourselves. "
romance/romance_spots,0,MiTaMa,Dubai Jazz: My Way,"Explore Dubai Jazz, where you'll find ambitious and unusual architecture, as well as fantastic art, music, fashion and culture. Shop in the Flower Fountaine or explore the aquarium. Don't miss the Megastore Towers!"
romance,0,Eversong,Eversong Wedding & Events,"Welcome to Eversong Weddings & Events. Whether you're planning a wedding, rez-day, bachelor party or just a romantic date, Eversong is here to fulfill your fantasies! They have any package prices, honeymoon rentals, clubs, boat rides and more. Come discover and enjoy all the hidden beauty they have to offer."
romance,0,Radiance,Woodsy,"Welcome to Woodsy! Enjoy the gentle rain, the forest and the stream. Dance under the stars with someone special. Explore, dream... Everything is possible in Woodsy. Namaste."
romance/romance_spots,0,Balanvi,Balanvi Garden,"Looking for a secret nook inside SL to escape to for peace and tranquility? Balanvi has created a reclusive area to relax in and wind down. Around each corner here, you will find falling bursts of color slowly raining down. More info at http://www.balanvi.com."
romance/romance_spots,0,GreenBurg,Garden of Greenburg,"These romantic and atmospheric gardens include many spots where you can dance or pose with a loved one, beautiful aquamarine lagoons for swimming, and plenty of delightful caves, glades, and floating islands to explore."
romance/romance_spots,0,Mo Mo Island,Auroro Island,"Take a visit to this romantic island filled with plenty of activities including underwater areas, balloon rides, motor boat rides and more. What will you discover at Auroro? "
romance/romance_spots,0,Eternal Dreams,Club Eternal Dreams,"Dance to romantic music with a loved one at Club Eternal Dreams, where there are live deejays and singers almost daily between 1-3 p.m. (Pacific). "
romance/romance_spots,0,Astral Dreams,Astral Dreams,"Romance is in the air at Astral Dreams, an elegant Italian location that features a large ballroom with regular hosted events. There are also beautiful gardens, a church and quite a few other artistic surprises."
romance/romance_spots,0,ARMENELOS,Island of Armenelos,"This beautiful island is a favorite spot in the Calas Galadhron estate for photography, exploration and romance. Reminiscent of Santorini, Greece, the village sits atop gorgeous cliffs overlooking the sea. Whether relaxing with friends on a scenic terrace, cuddling, boating, or dancing to live music at The Dolphin Cafe, you'll find yourself lingering longer than you planned in this exotic land."
